"","chromosome","position","type"
"chr6_apd_hap1_493823","chr6_apd_hap1",493823,"noncoding"
"chr6_apd_hap1_677868","chr6_apd_hap1",677868,"exon"
"chr6_apd_hap1_738149","chr6_apd_hap1",738149,"intron"
"chr6_apd_hap1_719910","chr6_apd_hap1",719910,"intron"
"chr6_apd_hap1_599431","chr6_apd_hap1",599431,"intron"
"chr6_apd_hap1_484296","chr6_apd_hap1",484296,"intron"
"chr6_apd_hap1_116372","chr6_apd_hap1",116372,"exon"
"chr6_apd_hap1_968817","chr6_apd_hap1",968817,"exon"
"chr6_apd_hap1_514812","chr6_apd_hap1",514812,"exon"
"chr6_apd_hap1_735114","chr6_apd_hap1",735114,"noncoding"
"chr6_apd_hap1_817320","chr6_apd_hap1",817320,"intron"
"chr6_apd_hap1_724239","chr6_apd_hap1",724239,"intron"
"chr6_apd_hap1_901809","chr6_apd_hap1",901809,"noncoding"
"chr6_apd_hap1_958643","chr6_apd_hap1",958643,"intron"
"chr6_apd_hap1_919925","chr6_apd_hap1",919925,"intron"
"chr6_apd_hap1_860683","chr6_apd_hap1",860683,"exon"
"chr6_apd_hap1_101753","chr6_apd_hap1",101753,"exon"
"chr6_apd_hap1_613138","chr6_apd_hap1",613138,"noncoding"
"chr6_apd_hap1_773963","chr6_apd_hap1",773963,"exon"
"chr6_apd_hap1_503570","chr6_apd_hap1",503570,"intron"
"chr6_cox_hap2_55761","chr6_cox_hap2",55761,"exon"
"chr6_cox_hap2_248061","chr6_cox_hap2",248061,"noncoding"
"chr6_cox_hap2_633235","chr6_cox_hap2",633235,"intron"
"chr6_cox_hap2_947394","chr6_cox_hap2",947394,"noncoding"
"chr6_cox_hap2_686723","chr6_cox_hap2",686723,"intron"
"chr6_cox_hap2_8247","chr6_cox_hap2",8247,"exon"
"chr6_cox_hap2_326472","chr6_cox_hap2",326472,"exon"
"chr6_cox_hap2_591078","chr6_cox_hap2",591078,"intron"
"chr6_cox_hap2_441360","chr6_cox_hap2",441360,"noncoding"
"chr6_cox_hap2_920375","chr6_cox_hap2",920375,"noncoding"
"chr6_cox_hap2_180866","chr6_cox_hap2",180866,"exon"
"chr6_cox_hap2_935759","chr6_cox_hap2",935759,"exon"
"chr6_cox_hap2_474281","chr6_cox_hap2",474281,"intron"
"chr6_cox_hap2_960458","chr6_cox_hap2",960458,"noncoding"
"chr6_cox_hap2_694310","chr6_cox_hap2",694310,"intron"
"chr6_cox_hap2_915038","chr6_cox_hap2",915038,"intron"
"chr6_cox_hap2_564479","chr6_cox_hap2",564479,"intron"
"chr6_cox_hap2_278707","chr6_cox_hap2",278707,"exon"
"chr6_cox_hap2_912954","chr6_cox_hap2",912954,"intron"
"chr6_cox_hap2_663532","chr6_cox_hap2",663532,"intron"
"chr6_cox_hap2_11059","chr6_cox_hap2",11059,"exon"
"chr6_cox_hap2_766821","chr6_cox_hap2",766821,"noncoding"
"chr6_cox_hap2_30067","chr6_cox_hap2",30067,"intron"
"chr6_cox_hap2_224964","chr6_cox_hap2",224964,"noncoding"
"chr6_cox_hap2_524147","chr6_cox_hap2",524147,"noncoding"
"chr6_cox_hap2_866797","chr6_cox_hap2",866797,"noncoding"
"chr6_cox_hap2_70912","chr6_cox_hap2",70912,"exon"
"chr6_cox_hap2_497365","chr6_cox_hap2",497365,"exon"
"chr6_cox_hap2_937089","chr6_cox_hap2",937089,"intron"
"chr6_cox_hap2_78953","chr6_cox_hap2",78953,"noncoding"
"chr6_cox_hap2_762706","chr6_cox_hap2",762706,"intron"
"chr6_cox_hap2_125234","chr6_cox_hap2",125234,"intron"
"chr6_cox_hap2_288789","chr6_cox_hap2",288789,"intron"
"chr6_cox_hap2_651127","chr6_cox_hap2",651127,"noncoding"
"chr6_cox_hap2_874536","chr6_cox_hap2",874536,"noncoding"
"chr6_cox_hap2_830232","chr6_cox_hap2",830232,"noncoding"
"chr6_cox_hap2_988122","chr6_cox_hap2",988122,"intron"
"chr6_cox_hap2_718870","chr6_cox_hap2",718870,"exon"
"chr6_cox_hap2_386467","chr6_cox_hap2",386467,"exon"
"chr6_cox_hap2_144249","chr6_cox_hap2",144249,"exon"
"chr6_cox_hap2_323786","chr6_cox_hap2",323786,"intron"
"chr6_cox_hap2_869734","chr6_cox_hap2",869734,"noncoding"
"chr6_cox_hap2_498816","chr6_cox_hap2",498816,"intron"
"chr6_cox_hap2_6997","chr6_cox_hap2",6997,"intron"
"chr6_cox_hap2_446730","chr6_cox_hap2",446730,"noncoding"
"chr6_cox_hap2_863228","chr6_cox_hap2",863228,"intron"
"chr6_cox_hap2_143872","chr6_cox_hap2",143872,"noncoding"
"chr6_cox_hap2_150745","chr6_cox_hap2",150745,"exon"
"chr6_cox_hap2_801835","chr6_cox_hap2",801835,"exon"
"chr6_cox_hap2_226019","chr6_cox_hap2",226019,"noncoding"
"chr6_cox_hap2_624696","chr6_cox_hap2",624696,"intron"
"chr6_cox_hap2_193390","chr6_cox_hap2",193390,"exon"
"chr6_cox_hap2_859925","chr6_cox_hap2",859925,"noncoding"
"chr6_cox_hap2_990069","chr6_cox_hap2",990069,"intron"
"chr6_cox_hap2_155865","chr6_cox_hap2",155865,"exon"
"chr6_cox_hap2_488730","chr6_cox_hap2",488730,"intron"
"chr6_cox_hap2_917282","chr6_cox_hap2",917282,"noncoding"
"chr6_cox_hap2_969686","chr6_cox_hap2",969686,"intron"
"chr6_cox_hap2_571000","chr6_cox_hap2",571000,"intron"
"chr6_cox_hap2_258063","chr6_cox_hap2",258063,"noncoding"
"chr6_cox_hap2_521767","chr6_cox_hap2",521767,"noncoding"
"chr6_cox_hap2_189070","chr6_cox_hap2",189070,"exon"
"chr6_cox_hap2_486107","chr6_cox_hap2",486107,"intron"
"chr6_cox_hap2_75062","chr6_cox_hap2",75062,"exon"
"chr6_cox_hap2_782552","chr6_cox_hap2",782552,"intron"
"chr6_cox_hap2_136369","chr6_cox_hap2",136369,"noncoding"
"chr6_cox_hap2_552277","chr6_cox_hap2",552277,"intron"
"chr6_cox_hap2_71302","chr6_cox_hap2",71302,"exon"
"chr6_cox_hap2_318530","chr6_cox_hap2",318530,"noncoding"
"chr6_cox_hap2_101071","chr6_cox_hap2",101071,"exon"
"chr6_cox_hap2_44163","chr6_cox_hap2",44163,"noncoding"
"chr6_cox_hap2_296917","chr6_cox_hap2",296917,"intron"
"chr6_cox_hap2_603906","chr6_cox_hap2",603906,"noncoding"
"chr6_cox_hap2_238205","chr6_cox_hap2",238205,"exon"
"chr6_cox_hap2_981726","chr6_cox_hap2",981726,"noncoding"
"chr6_cox_hap2_868223","chr6_cox_hap2",868223,"intron"
"chr6_cox_hap2_69408","chr6_cox_hap2",69408,"noncoding"
"chr6_cox_hap2_728812","chr6_cox_hap2",728812,"intron"
"chr6_cox_hap2_375833","chr6_cox_hap2",375833,"intron"
"chr6_cox_hap2_556170","chr6_cox_hap2",556170,"noncoding"
"chr6_cox_hap2_214013","chr6_cox_hap2",214013,"noncoding"
"chr6_cox_hap2_87930","chr6_cox_hap2",87930,"noncoding"
"chr6_cox_hap2_950140","chr6_cox_hap2",950140,"noncoding"
"chr6_cox_hap2_143184","chr6_cox_hap2",143184,"intron"
"chr6_cox_hap2_664579","chr6_cox_hap2",664579,"intron"
"chr6_cox_hap2_329241","chr6_cox_hap2",329241,"intron"
"chr6_cox_hap2_602672","chr6_cox_hap2",602672,"noncoding"
"chr6_cox_hap2_873975","chr6_cox_hap2",873975,"intron"
"chr6_cox_hap2_271675","chr6_cox_hap2",271675,"noncoding"
"chr6_cox_hap2_49538","chr6_cox_hap2",49538,"intron"
"chr6_cox_hap2_693574","chr6_cox_hap2",693574,"noncoding"
"chr6_cox_hap2_355848","chr6_cox_hap2",355848,"noncoding"
"chr6_cox_hap2_939413","chr6_cox_hap2",939413,"intron"
"chr6_cox_hap2_975340","chr6_cox_hap2",975340,"intron"
"chr6_cox_hap2_350961","chr6_cox_hap2",350961,"exon"
"chr6_cox_hap2_47722","chr6_cox_hap2",47722,"intron"
"chr6_cox_hap2_497469","chr6_cox_hap2",497469,"exon"
"chr6_cox_hap2_905079","chr6_cox_hap2",905079,"exon"
"chr6_cox_hap2_262515","chr6_cox_hap2",262515,"intron"
"chr6_cox_hap2_297388","chr6_cox_hap2",297388,"intron"
"chr6_dbb_hap3_559812","chr6_dbb_hap3",559812,"exon"
"chr6_dbb_hap3_809187","chr6_dbb_hap3",809187,"exon"
"chr6_dbb_hap3_199192","chr6_dbb_hap3",199192,"intron"
"chr6_dbb_hap3_575629","chr6_dbb_hap3",575629,"noncoding"
"chr6_dbb_hap3_995339","chr6_dbb_hap3",995339,"exon"
"chr6_dbb_hap3_340635","chr6_dbb_hap3",340635,"noncoding"
"chr6_dbb_hap3_77003","chr6_dbb_hap3",77003,"intron"
"chr6_dbb_hap3_689061","chr6_dbb_hap3",689061,"exon"
"chr6_dbb_hap3_107476","chr6_dbb_hap3",107476,"noncoding"
"chr6_dbb_hap3_631541","chr6_dbb_hap3",631541,"intron"
"chr6_dbb_hap3_962944","chr6_dbb_hap3",962944,"noncoding"
"chr6_dbb_hap3_412536","chr6_dbb_hap3",412536,"noncoding"
"chr6_dbb_hap3_567665","chr6_dbb_hap3",567665,"noncoding"
"chr6_dbb_hap3_817270","chr6_dbb_hap3",817270,"exon"
"chr6_dbb_hap3_930232","chr6_dbb_hap3",930232,"intron"
"chr6_dbb_hap3_193853","chr6_dbb_hap3",193853,"noncoding"
"chr6_dbb_hap3_937471","chr6_dbb_hap3",937471,"intron"
"chr6_dbb_hap3_274594","chr6_dbb_hap3",274594,"exon"
"chr6_dbb_hap3_254973","chr6_dbb_hap3",254973,"noncoding"
"chr6_dbb_hap3_894801","chr6_dbb_hap3",894801,"intron"
"chr6_dbb_hap3_503483","chr6_dbb_hap3",503483,"exon"
"chr6_dbb_hap3_403304","chr6_dbb_hap3",403304,"noncoding"
"chr6_dbb_hap3_973138","chr6_dbb_hap3",973138,"exon"
"chr6_dbb_hap3_23656","chr6_dbb_hap3",23656,"intron"
"chr6_dbb_hap3_370028","chr6_dbb_hap3",370028,"exon"
"chr6_dbb_hap3_666990","chr6_dbb_hap3",666990,"intron"
"chr6_dbb_hap3_242947","chr6_dbb_hap3",242947,"exon"
"chr6_dbb_hap3_833896","chr6_dbb_hap3",833896,"exon"
"chr6_dbb_hap3_497142","chr6_dbb_hap3",497142,"noncoding"
"chr6_dbb_hap3_996155","chr6_dbb_hap3",996155,"exon"
"chr6_dbb_hap3_288367","chr6_dbb_hap3",288367,"intron"
"chr6_dbb_hap3_877928","chr6_dbb_hap3",877928,"intron"
"chr6_dbb_hap3_566308","chr6_dbb_hap3",566308,"noncoding"
"chr6_dbb_hap3_32636","chr6_dbb_hap3",32636,"intron"
"chr6_dbb_hap3_204356","chr6_dbb_hap3",204356,"exon"
"chr6_dbb_hap3_449707","chr6_dbb_hap3",449707,"noncoding"
"chr6_dbb_hap3_548619","chr6_dbb_hap3",548619,"noncoding"
"chr6_dbb_hap3_762471","chr6_dbb_hap3",762471,"intron"
"chr6_dbb_hap3_688105","chr6_dbb_hap3",688105,"intron"
"chr6_dbb_hap3_266797","chr6_dbb_hap3",266797,"exon"
"chr6_dbb_hap3_385342","chr6_dbb_hap3",385342,"exon"
"chr6_dbb_hap3_713135","chr6_dbb_hap3",713135,"intron"
"chr6_dbb_hap3_594794","chr6_dbb_hap3",594794,"intron"
"chr6_dbb_hap3_128082","chr6_dbb_hap3",128082,"noncoding"
"chr6_dbb_hap3_579159","chr6_dbb_hap3",579159,"exon"
"chr6_dbb_hap3_368257","chr6_dbb_hap3",368257,"noncoding"
"chr6_dbb_hap3_647404","chr6_dbb_hap3",647404,"noncoding"
"chr6_dbb_hap3_105997","chr6_dbb_hap3",105997,"exon"
"chr6_dbb_hap3_917532","chr6_dbb_hap3",917532,"intron"
"chr6_dbb_hap3_207125","chr6_dbb_hap3",207125,"exon"
"chr6_dbb_hap3_336460","chr6_dbb_hap3",336460,"noncoding"
"chr6_dbb_hap3_778701","chr6_dbb_hap3",778701,"intron"
"chr6_dbb_hap3_788464","chr6_dbb_hap3",788464,"noncoding"
"chr6_dbb_hap3_207113","chr6_dbb_hap3",207113,"intron"
"chr6_dbb_hap3_919337","chr6_dbb_hap3",919337,"noncoding"
"chr6_dbb_hap3_205310","chr6_dbb_hap3",205310,"noncoding"
"chr6_dbb_hap3_881557","chr6_dbb_hap3",881557,"noncoding"
"chr6_dbb_hap3_966446","chr6_dbb_hap3",966446,"exon"
"chr6_dbb_hap3_387779","chr6_dbb_hap3",387779,"exon"
"chr6_dbb_hap3_250366","chr6_dbb_hap3",250366,"exon"
"chr6_dbb_hap3_1535","chr6_dbb_hap3",1535,"exon"
"chr6_dbb_hap3_565892","chr6_dbb_hap3",565892,"exon"
"chr6_dbb_hap3_126383","chr6_dbb_hap3",126383,"intron"
"chr6_dbb_hap3_189054","chr6_dbb_hap3",189054,"noncoding"
"chr6_dbb_hap3_42604","chr6_dbb_hap3",42604,"intron"
"chr6_dbb_hap3_404928","chr6_dbb_hap3",404928,"intron"
"chr6_dbb_hap3_592018","chr6_dbb_hap3",592018,"exon"
"chr6_dbb_hap3_373593","chr6_dbb_hap3",373593,"exon"
"chr6_dbb_hap3_193226","chr6_dbb_hap3",193226,"exon"
"chr6_dbb_hap3_360800","chr6_dbb_hap3",360800,"intron"
"chr6_dbb_hap3_753533","chr6_dbb_hap3",753533,"noncoding"
"chr6_dbb_hap3_478835","chr6_dbb_hap3",478835,"noncoding"
"chr6_dbb_hap3_751074","chr6_dbb_hap3",751074,"exon"
"chr6_dbb_hap3_481851","chr6_dbb_hap3",481851,"exon"
"chr6_dbb_hap3_483559","chr6_dbb_hap3",483559,"exon"
"chr6_dbb_hap3_742424","chr6_dbb_hap3",742424,"noncoding"
"chr6_dbb_hap3_947273","chr6_dbb_hap3",947273,"exon"
"chr6_dbb_hap3_936368","chr6_dbb_hap3",936368,"exon"
"chr6_dbb_hap3_133175","chr6_dbb_hap3",133175,"noncoding"
"chr6_dbb_hap3_267472","chr6_dbb_hap3",267472,"noncoding"
"chr6_dbb_hap3_867192","chr6_dbb_hap3",867192,"exon"
"chr6_dbb_hap3_813432","chr6_dbb_hap3",813432,"noncoding"
"chr6_dbb_hap3_440627","chr6_dbb_hap3",440627,"intron"
"chr6_dbb_hap3_703838","chr6_dbb_hap3",703838,"exon"
"chr6_dbb_hap3_94905","chr6_dbb_hap3",94905,"exon"
"chr6_dbb_hap3_22487","chr6_dbb_hap3",22487,"intron"
"chr6_dbb_hap3_948449","chr6_dbb_hap3",948449,"noncoding"
"chr6_dbb_hap3_483647","chr6_dbb_hap3",483647,"noncoding"
"chr6_dbb_hap3_739555","chr6_dbb_hap3",739555,"exon"
"chr6_dbb_hap3_444574","chr6_dbb_hap3",444574,"exon"
"chr6_dbb_hap3_253317","chr6_dbb_hap3",253317,"noncoding"
"chr6_dbb_hap3_261627","chr6_dbb_hap3",261627,"noncoding"
"chr6_dbb_hap3_320993","chr6_dbb_hap3",320993,"intron"
"chr6_dbb_hap3_690051","chr6_dbb_hap3",690051,"exon"
"chr6_dbb_hap3_271102","chr6_dbb_hap3",271102,"exon"
"chr6_dbb_hap3_208104","chr6_dbb_hap3",208104,"exon"
"chr6_dbb_hap3_187750","chr6_dbb_hap3",187750,"noncoding"
"chr6_dbb_hap3_711907","chr6_dbb_hap3",711907,"exon"
"chr6_dbb_hap3_802613","chr6_dbb_hap3",802613,"noncoding"
"chr6_dbb_hap3_758313","chr6_dbb_hap3",758313,"noncoding"
"chr6_mann_hap4_357030","chr6_mann_hap4",357030,"noncoding"
"chr6_mann_hap4_445506","chr6_mann_hap4",445506,"exon"
"chr6_mann_hap4_879344","chr6_mann_hap4",879344,"exon"
"chr6_mann_hap4_857006","chr6_mann_hap4",857006,"noncoding"
"chr6_mann_hap4_357482","chr6_mann_hap4",357482,"intron"
"chr6_mann_hap4_396866","chr6_mann_hap4",396866,"exon"
"chr6_mann_hap4_543562","chr6_mann_hap4",543562,"noncoding"
"chr6_mann_hap4_373343","chr6_mann_hap4",373343,"noncoding"
"chr6_mann_hap4_173387","chr6_mann_hap4",173387,"exon"
"chr6_mann_hap4_859114","chr6_mann_hap4",859114,"intron"
"chr6_mann_hap4_681312","chr6_mann_hap4",681312,"noncoding"
"chr6_mann_hap4_672238","chr6_mann_hap4",672238,"noncoding"
"chr6_mann_hap4_865167","chr6_mann_hap4",865167,"exon"
"chr6_mann_hap4_350667","chr6_mann_hap4",350667,"exon"
"chr6_mann_hap4_391484","chr6_mann_hap4",391484,"exon"
"chr6_mann_hap4_182134","chr6_mann_hap4",182134,"exon"
"chr6_mann_hap4_796942","chr6_mann_hap4",796942,"exon"
"chr6_mann_hap4_348425","chr6_mann_hap4",348425,"intron"
"chr6_mann_hap4_539930","chr6_mann_hap4",539930,"noncoding"
"chr6_mann_hap4_470588","chr6_mann_hap4",470588,"intron"
"chr6_mann_hap4_839967","chr6_mann_hap4",839967,"intron"
"chr6_mann_hap4_18815","chr6_mann_hap4",18815,"exon"
"chr6_mann_hap4_914905","chr6_mann_hap4",914905,"intron"
"chr6_mann_hap4_357551","chr6_mann_hap4",357551,"noncoding"
"chr6_mann_hap4_479949","chr6_mann_hap4",479949,"exon"
"chr6_mann_hap4_104873","chr6_mann_hap4",104873,"noncoding"
"chr6_mann_hap4_711644","chr6_mann_hap4",711644,"exon"
"chr6_mann_hap4_912391","chr6_mann_hap4",912391,"noncoding"
"chr6_mann_hap4_233191","chr6_mann_hap4",233191,"exon"
"chr6_mann_hap4_786353","chr6_mann_hap4",786353,"noncoding"
"chr6_mann_hap4_177880","chr6_mann_hap4",177880,"intron"
"chr6_mann_hap4_270360","chr6_mann_hap4",270360,"intron"
"chr6_mann_hap4_878913","chr6_mann_hap4",878913,"exon"
"chr6_mann_hap4_598275","chr6_mann_hap4",598275,"exon"
"chr6_mann_hap4_163759","chr6_mann_hap4",163759,"exon"
"chr6_mann_hap4_912732","chr6_mann_hap4",912732,"exon"
"chr6_mann_hap4_789787","chr6_mann_hap4",789787,"noncoding"
"chr6_mann_hap4_871191","chr6_mann_hap4",871191,"exon"
"chr6_mann_hap4_980530","chr6_mann_hap4",980530,"exon"
"chr6_mann_hap4_344988","chr6_mann_hap4",344988,"exon"
"chr6_mann_hap4_837131","chr6_mann_hap4",837131,"intron"
"chr6_mann_hap4_494514","chr6_mann_hap4",494514,"intron"
"chr6_mann_hap4_629059","chr6_mann_hap4",629059,"noncoding"
"chr6_mann_hap4_96598","chr6_mann_hap4",96598,"intron"
"chr6_mann_hap4_81034","chr6_mann_hap4",81034,"intron"
"chr6_mann_hap4_721420","chr6_mann_hap4",721420,"intron"
"chr6_mann_hap4_675124","chr6_mann_hap4",675124,"intron"
"chr6_mann_hap4_898800","chr6_mann_hap4",898800,"noncoding"
"chr6_mann_hap4_14824","chr6_mann_hap4",14824,"noncoding"
"chr6_mann_hap4_641100","chr6_mann_hap4",641100,"intron"
"chr6_mann_hap4_607009","chr6_mann_hap4",607009,"exon"
"chr6_mann_hap4_279564","chr6_mann_hap4",279564,"exon"
"chr6_mann_hap4_6958","chr6_mann_hap4",6958,"exon"
"chr6_mann_hap4_925862","chr6_mann_hap4",925862,"noncoding"
"chr6_mann_hap4_719936","chr6_mann_hap4",719936,"intron"
"chr6_mann_hap4_626002","chr6_mann_hap4",626002,"intron"
"chr6_mann_hap4_137463","chr6_mann_hap4",137463,"noncoding"
"chr6_mann_hap4_676223","chr6_mann_hap4",676223,"noncoding"
"chr6_mann_hap4_554701","chr6_mann_hap4",554701,"intron"
"chr6_mann_hap4_411263","chr6_mann_hap4",411263,"intron"
"chr6_mann_hap4_594362","chr6_mann_hap4",594362,"exon"
"chr6_mann_hap4_740243","chr6_mann_hap4",740243,"exon"
"chr6_mann_hap4_773112","chr6_mann_hap4",773112,"exon"
"chr6_mann_hap4_973244","chr6_mann_hap4",973244,"exon"
"chr6_mann_hap4_834223","chr6_mann_hap4",834223,"exon"
"chr6_mann_hap4_160491","chr6_mann_hap4",160491,"exon"
"chr6_mann_hap4_83698","chr6_mann_hap4",83698,"noncoding"
"chr6_mann_hap4_18850","chr6_mann_hap4",18850,"exon"
"chr6_mann_hap4_123342","chr6_mann_hap4",123342,"noncoding"
"chr6_mann_hap4_208628","chr6_mann_hap4",208628,"exon"
"chr6_mann_hap4_285852","chr6_mann_hap4",285852,"exon"
"chr6_mann_hap4_127754","chr6_mann_hap4",127754,"intron"
"chr6_mann_hap4_487872","chr6_mann_hap4",487872,"noncoding"
"chr6_mann_hap4_836402","chr6_mann_hap4",836402,"exon"
"chr6_mann_hap4_986529","chr6_mann_hap4",986529,"noncoding"
"chr6_mann_hap4_326905","chr6_mann_hap4",326905,"noncoding"
"chr6_mann_hap4_940374","chr6_mann_hap4",940374,"intron"
"chr6_mann_hap4_981850","chr6_mann_hap4",981850,"noncoding"
"chr6_mann_hap4_178982","chr6_mann_hap4",178982,"exon"
"chr6_mann_hap4_186758","chr6_mann_hap4",186758,"exon"
"chr6_mann_hap4_601338","chr6_mann_hap4",601338,"exon"
"chr6_mann_hap4_988793","chr6_mann_hap4",988793,"exon"
"chr6_mann_hap4_90853","chr6_mann_hap4",90853,"noncoding"
"chr6_mann_hap4_629403","chr6_mann_hap4",629403,"exon"
"chr6_mann_hap4_426066","chr6_mann_hap4",426066,"exon"
"chr6_mann_hap4_862604","chr6_mann_hap4",862604,"intron"
"chr6_mann_hap4_23724","chr6_mann_hap4",23724,"exon"
"chr6_mann_hap4_234826","chr6_mann_hap4",234826,"exon"
"chr6_mann_hap4_845322","chr6_mann_hap4",845322,"noncoding"
"chr6_mann_hap4_152101","chr6_mann_hap4",152101,"exon"
"chr6_mann_hap4_160286","chr6_mann_hap4",160286,"intron"
"chr6_mann_hap4_709538","chr6_mann_hap4",709538,"exon"
"chr6_mann_hap4_129403","chr6_mann_hap4",129403,"intron"
"chr6_mann_hap4_915277","chr6_mann_hap4",915277,"noncoding"
"chr6_mann_hap4_980664","chr6_mann_hap4",980664,"noncoding"
"chr6_mann_hap4_885885","chr6_mann_hap4",885885,"noncoding"
"chr6_mann_hap4_562232","chr6_mann_hap4",562232,"noncoding"
"chr6_mann_hap4_473218","chr6_mann_hap4",473218,"exon"
"chr6_mann_hap4_208030","chr6_mann_hap4",208030,"intron"
"chr6_mann_hap4_841375","chr6_mann_hap4",841375,"noncoding"
"chr6_mcf_hap5_932159","chr6_mcf_hap5",932159,"exon"
"chr6_mcf_hap5_375","chr6_mcf_hap5",375,"intron"
"chr6_mcf_hap5_287119","chr6_mcf_hap5",287119,"intron"
"chr6_mcf_hap5_543096","chr6_mcf_hap5",543096,"exon"
"chr6_mcf_hap5_358186","chr6_mcf_hap5",358186,"noncoding"
"chr6_mcf_hap5_243101","chr6_mcf_hap5",243101,"exon"
"chr6_mcf_hap5_576556","chr6_mcf_hap5",576556,"intron"
"chr6_mcf_hap5_633246","chr6_mcf_hap5",633246,"noncoding"
"chr6_mcf_hap5_668082","chr6_mcf_hap5",668082,"intron"
"chr6_mcf_hap5_976305","chr6_mcf_hap5",976305,"intron"
"chr6_mcf_hap5_184623","chr6_mcf_hap5",184623,"intron"
"chr6_mcf_hap5_807011","chr6_mcf_hap5",807011,"noncoding"
"chr6_mcf_hap5_80584","chr6_mcf_hap5",80584,"noncoding"
"chr6_mcf_hap5_211923","chr6_mcf_hap5",211923,"noncoding"
"chr6_mcf_hap5_17599","chr6_mcf_hap5",17599,"exon"
"chr6_mcf_hap5_684971","chr6_mcf_hap5",684971,"intron"
"chr6_mcf_hap5_129803","chr6_mcf_hap5",129803,"exon"
"chr6_mcf_hap5_278495","chr6_mcf_hap5",278495,"intron"
"chr6_mcf_hap5_151418","chr6_mcf_hap5",151418,"intron"
"chr6_mcf_hap5_724184","chr6_mcf_hap5",724184,"intron"
"chr6_mcf_hap5_272704","chr6_mcf_hap5",272704,"noncoding"
"chr6_mcf_hap5_454316","chr6_mcf_hap5",454316,"exon"
"chr6_mcf_hap5_831171","chr6_mcf_hap5",831171,"intron"
"chr6_mcf_hap5_413653","chr6_mcf_hap5",413653,"exon"
"chr6_mcf_hap5_53987","chr6_mcf_hap5",53987,"intron"
"chr6_mcf_hap5_515484","chr6_mcf_hap5",515484,"exon"
"chr6_mcf_hap5_394370","chr6_mcf_hap5",394370,"intron"
"chr6_mcf_hap5_108778","chr6_mcf_hap5",108778,"intron"
"chr6_mcf_hap5_334870","chr6_mcf_hap5",334870,"noncoding"
"chr6_mcf_hap5_1826","chr6_mcf_hap5",1826,"noncoding"
"chr6_mcf_hap5_618477","chr6_mcf_hap5",618477,"noncoding"
"chr6_mcf_hap5_868855","chr6_mcf_hap5",868855,"intron"
"chr6_mcf_hap5_131278","chr6_mcf_hap5",131278,"noncoding"
"chr6_mcf_hap5_361386","chr6_mcf_hap5",361386,"exon"
"chr6_mcf_hap5_204289","chr6_mcf_hap5",204289,"exon"
"chr6_mcf_hap5_911804","chr6_mcf_hap5",911804,"noncoding"
"chr6_mcf_hap5_325300","chr6_mcf_hap5",325300,"intron"
"chr6_mcf_hap5_550593","chr6_mcf_hap5",550593,"intron"
"chr6_mcf_hap5_834013","chr6_mcf_hap5",834013,"exon"
"chr6_mcf_hap5_468298","chr6_mcf_hap5",468298,"intron"
"chr6_mcf_hap5_409851","chr6_mcf_hap5",409851,"intron"
"chr6_mcf_hap5_568437","chr6_mcf_hap5",568437,"exon"
"chr6_mcf_hap5_30814","chr6_mcf_hap5",30814,"intron"
"chr6_mcf_hap5_498950","chr6_mcf_hap5",498950,"intron"
"chr6_mcf_hap5_556733","chr6_mcf_hap5",556733,"intron"
"chr6_mcf_hap5_305376","chr6_mcf_hap5",305376,"exon"
"chr6_mcf_hap5_557536","chr6_mcf_hap5",557536,"intron"
"chr6_mcf_hap5_788131","chr6_mcf_hap5",788131,"exon"
"chr6_mcf_hap5_871276","chr6_mcf_hap5",871276,"intron"
"chr6_mcf_hap5_643820","chr6_mcf_hap5",643820,"intron"
"chr6_mcf_hap5_674662","chr6_mcf_hap5",674662,"intron"
"chr6_mcf_hap5_209464","chr6_mcf_hap5",209464,"exon"
"chr6_mcf_hap5_324681","chr6_mcf_hap5",324681,"noncoding"
"chr6_mcf_hap5_202383","chr6_mcf_hap5",202383,"noncoding"
"chr6_mcf_hap5_12562","chr6_mcf_hap5",12562,"noncoding"
"chr6_mcf_hap5_915470","chr6_mcf_hap5",915470,"exon"
"chr6_mcf_hap5_270411","chr6_mcf_hap5",270411,"exon"
"chr6_mcf_hap5_758674","chr6_mcf_hap5",758674,"noncoding"
"chr6_mcf_hap5_676421","chr6_mcf_hap5",676421,"intron"
"chr6_mcf_hap5_171669","chr6_mcf_hap5",171669,"noncoding"
"chr6_mcf_hap5_177734","chr6_mcf_hap5",177734,"noncoding"
"chr6_mcf_hap5_637666","chr6_mcf_hap5",637666,"exon"
"chr6_mcf_hap5_583623","chr6_mcf_hap5",583623,"exon"
"chr6_mcf_hap5_907713","chr6_mcf_hap5",907713,"exon"
"chr6_mcf_hap5_569313","chr6_mcf_hap5",569313,"noncoding"
"chr6_mcf_hap5_572119","chr6_mcf_hap5",572119,"noncoding"
"chr6_mcf_hap5_9999","chr6_mcf_hap5",9999,"intron"
"chr6_mcf_hap5_781464","chr6_mcf_hap5",781464,"exon"
"chr6_mcf_hap5_810277","chr6_mcf_hap5",810277,"noncoding"
"chr6_mcf_hap5_19941","chr6_mcf_hap5",19941,"exon"
"chr6_mcf_hap5_382171","chr6_mcf_hap5",382171,"noncoding"
"chr6_mcf_hap5_333610","chr6_mcf_hap5",333610,"intron"
"chr6_mcf_hap5_471385","chr6_mcf_hap5",471385,"exon"
